timestamp;script_id;host;label;running;cpu;mem_used;mem_peak;mem_free;error
[2026-09-23 08:29:01];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
[2026-09-23 08:29:16];[Script 1];192.168.178.117;Regler;True;14;13356;19614;11830;
[2026-09-23 08:29:16];[Script 1];192.168.178.149;zenDash;True;0;13202;17458;11984;
[2026-09-23 08:29:16];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
[2026-09-23 08:29:31];[Script 1];192.168.178.117;Regler;True;12;13356;19614;11830;
[2026-09-23 08:29:31];[Script 1];192.168.178.149;zenDash;True;0;13202;17458;11984;
[2026-09-23 08:29:31];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
[2026-09-23 08:29:46];[Script 1];192.168.178.117;Regler;True;9;13356;19614;11830;
[2026-09-23 08:29:46];[Script 1];192.168.178.149;zenDash;True;0;13202;17458;11984;
[2026-09-23 08:29:46];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
[2026-09-23 08:30:01];[Script 1];192.168.178.117;Regler;True;10;13972;19614;11214;
[2026-09-23 08:30:01];[Script 1];192.168.178.149;zenDash;True;8;13202;17458;11984;
[2026-09-23 08:30:01];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
[2026-09-23 08:30:16];[Script 1];192.168.178.117;Regler;True;14;13356;19614;11830;
[2026-09-23 08:30:16];[Script 1];192.168.178.149;zenDash;True;0;13202;17458;11984;
[2026-09-23 08:30:16];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
[2026-09-23 08:30:31];[Script 1];192.168.178.117;Regler;True;11;13356;19614;11830;
[2026-09-23 08:30:31];[Script 1];192.168.178.149;zenDash;True;0;13202;17458;11984;
[2026-09-23 08:30:31];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
[2026-09-23 08:30:46];[Script 1];192.168.178.117;Regler;True;7;13356;19614;11830;
[2026-09-23 08:30:46];[Script 1];192.168.178.149;zenDash;True;0;13202;17458;11984;
[2026-09-23 08:30:46];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
